Project_Name,Primary_Environmental_Mechanism,Procedure,Environmental_Aspect,Obligation_Number,Obligation,Accountability,Responsibility,ProjectPhase,Action_DueDate,Close_Out_Date,Status,Supporting_Information,General_Comments,Compliance_Comments,NonConformance_Comments,Evidence,PersonEmail,Recurring_Obligation,Recurring_Frequency,Recurring_Status,Recurring_Forcasted_Date,Inspection,Inspection_Frequency,Site_or_Desktop,"New_Control_action_required ",Obligation_type
SCJV - Pilbara Ports,Portside CEMP,Threatened Species Management,Terrestrial Fauna Management,PCEMP-11,All excavations that must be left open for more than 12 hours must have gentle ramped egress that all fauna are capable of using.,SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Daily,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,Threatened Species Management,Terrestrial Fauna Management,PCEMP-12,"Undertake inspections and fauna capture, removal and relocation of native fauna (outside of PPA land) from all habitat / microhabitats prior to clearing.",SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,As required,Site,y,Site based
SCJV - Pilbara Ports,Portside CEMP,Threatened Species Management,Terrestrial Fauna Management,PCEMP-13,"Only authorised fauna handlers to remove, handle and relocate fauna.",SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,Only R28 Licence Authorised Persons to handle fauna.,,Verify compliance through audit of fauna interaction register.,,,,No,,,,No,,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Terrestrial Fauna Management,PCEMP-14,"Conduct prestart checks of machinery and equipment prior to operating, to ensure that fauna has not taken refuge within.",SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,,,Verify compliance through audit of fauna interaction register.,,,,,,,,Yes,Daily,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,Threatened Species Management,Terrestrial Fauna Management,PCEMP-15,Site vehicle speed limits to be obeyed to avoid vehicle / fauna interactions.,SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,,,Verify compliance through audit of fauna interaction register.,,,,No,,,,No,,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,Threatened Species Management,Terrestrial Fauna Management,PCEMP-16,Vehicles to yield right-of-way to fauna at all times.,SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,,,Verify compliance through audit of fauna interaction register.,,,,No,,,,No,,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,Threatened Species Management,Terrestrial Fauna Management,PCEMP-17,"Roadkill will be removed at least 10m into surrounding vegetation, when safe to do so, by designated personnel to avoid further strikes of fauna feeding on carcasses.",SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,,,Verify compliance through audit of fauna interaction register.,,,,No,,,,No,,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Terrestrial Fauna Management,PCEMP-18,Vehicles are only permitted on approved access routes.,SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,No,,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,Fauna Management Plan,Terrestrial Fauna Management,PCEMP-19,"Noisy equipment, plant and activities will be directed away from known fauna locations or habitats.",SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Weekly,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,Threatened Species Management,Terrestrial Fauna Management,PCEMP-20,High noise and vibratory works will be scheduled for hours that are least likely to affect fauna species.,SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Weekly,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,Threatened Species Management,Terrestrial Fauna Management,PCEMP-21,Report sightings of threatened and priority fauna.,SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,"To submit the report form, email to fauna@dbca.wa.gov.au",,"Verify compliance through inspections, audits and reporting.",,,,No,,,,No,,Desktop,,Reporting
SCJV - Pilbara Ports,Portside CEMP,Threatened Species Management,Terrestrial Fauna Management,PCEMP-22,Any conservation significant vertebrate fauna deaths and injuries will be reported to DBCA within one week of being recorded and treated as a notifiable environmental incident.,SCJV,SCJV - Lead Environmental Advisor,During Construction,10/1/2027,,Not Started,,,Notifiable Incident,,,,No,,,,No,,Desktop,,Reporting
SCJV - Pilbara Ports,Portside CEMP,,Biosecurity and Pest Management,PCEMP-23,Minimise the requirement for linear/connected cleared areas that could provide favorable access for pest animals and allow them to expand their range into areas that they were previously excluded from.,SCJV,SCJV - Lead Environmental Advisor,Design and Construction,1/1/2027,,Completed,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,No,,Desktop,,Design
SCJV - Pilbara Ports,Portside CEMP,,Biosecurity and Pest Management,PCEMP-24,"If large numbers of pest species are identified, a management program is to be implemented by a suitably qualified contractor or take part in PPA�s Collaborative Industry Pest Management Programs.",SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,,Not currently necessary.,"Verify compliance through inspections, audits and reporting.",,,,No,,,,No,,Desktop,,Incident response
SCJV - Pilbara Ports,Portside CEMP,Threatened Species Management,Biosecurity and Pest Management,PCEMP-25,Management and control will follow humane handling of pest animals.,SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,,Not currently necessary.,"Verify compliance through inspections, audits and reporting.",,,,No,,,,No,,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,Threatened Species Management,Biosecurity and Pest Management,PCEMP-26,"Euthanising pest species must be undertaken in a humane manner and in compliance with the Animal Welfare Act, 2002.",SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,,Not currently necessary.,"Verify compliance through inspections, audits and reporting.",,,,No,,,,No,,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Biosecurity and Pest Management,PCEMP-27,"All vehicles, equipment and supplies brought to the PDE will be inspected to ensure they are clean and free of pest animals.",SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,,,"Verify compliance through inspections, audits and reporting.",,,,Yes,Mobilisation,,,Yes,Mobilisation,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,Threatened Species Management,Biosecurity and Pest Management,PCEMP-28,"If Cane Toads are declared in the area of the Burrup, then the PROJECT will develop a Cane Toad Monitoring program.",SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,As required,Desktop,,Incident response
SCJV - Pilbara Ports,Portside CEMP,,Biosecurity and Pest Management,PCEMP-29,"Ensure all imported topsoil, timber and other materials that potentially could contain invasive ant species are only sourced from suppliers that provide ant-free certificates.",SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,,,Verify compliance through records of suppliers obtained in audits.,,,,No,,,,No,,Desktop,,Procurement
SCJV - Pilbara Ports,Portside CEMP,,Biosecurity and Pest Management,PCEMP-30,Preferred habitat and nesting locations for pest species should be identified at each PROJECT facility so that mitigation measures can be implemented to remove/minimise the favorable nesting locations.,SCJV,SCJV - Lead Environmental Advisor,Prior to Construction,8/1/2027,,Not Started,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,No,,Desktop,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Biosecurity and Pest Management,PCEMP-31,Avoid creating artificial water sources (e.g. depressions on the ground) that provide a source of drinking water to vertebrate pests or breeding habitat to invertebrate pests.,SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Extreme Weather,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Biosecurity and Pest Management,PCEMP-32,"After significant rainfall events, the PDE will be inspected for any pooled water. Evaporation of pooled water shall be assessed on a case-by-case basis, with the pooled water to be removed in the first instance. However, if pooled water is noted to require pest treatment, larvicides shall be used by a certified pest contractor.",SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Extreme Weather,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Biosecurity and Pest Management,PCEMP-33,Personnel are not to feed wildlife.,SCJV,SCJV - Lead Environmental Advisor,Throughout the project,1/1/2107,,Not Started,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,No,,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,Threatened Species Management,Biosecurity and Pest Management,PCEMP-34,Personnel are prohibited from bringing pets to site.,SCJV,SCJV - Lead Environmental Advisor,Throughout the project,1/1/2107,,Not Started,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,No,,Site,,Training
SCJV - Pilbara Ports,Portside CEMP,PPA Port of Dampier Handbook,Biosecurity and Pest Management,PCEMP-35,"CONTRACTOR shall ensure that all vessels involved in the activities of the PROJECT to comply with the Australian Quarantine and Inspection Service (AQIS, managed by the Department of Agriculture, Fisheries and Forestry) requirements when their port of origin is outside Western Australian waters, or they have been in contact with open waters facilities and vessels.",SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,"Management of these vessels is a responsibility of the vessel�s Master and as a minimum, the vessel must comply with the following requirements:
- Managing ballast water according to Australia�s mandatory Ballast Water Management Requirements.
- Minimising the amount of biofouling through a high standard of cleaning and maintenance as described in the National Biofouling Management Guidance for Non-trading Vessels.",,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Mobilisation,Desktop,Y,Procurement
SCJV - Pilbara Ports,Portside CEMP,PPA Port of Dampier Handbook,Biosecurity and Pest Management,PCEMP-36,CONTRACTOR shall ensure that WA DPIRD�s Vessel Check risk assessment submitted to PPA for all PROJECT construction support vessels that mobilise to the Port of Dampier from interstate or international waters. Any vessels associated with the PROJECT must not be higher than �low risk� (unless excepted by DPIRD) for IMP to Port of Dampier Waters.,SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Mobilisation,Desktop,Y,Procurement
SCJV - Pilbara Ports,Portside CEMP,PPA Port of Dampier Handbook,Biosecurity and Pest Management,PCEMP-37,CONTRACTOR shall ensure that vessels will have ballast water management plans and ballast water exchange will be in accordance with IMO requirements and Biosecurity Act.,SCJV,SCJV - Lead Environmental Advisor,During Construction,10/1/2027,,Not Started,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Mobilisation,Desktop,Y,Procurement
SCJV - Pilbara Ports,Portside CEMP,Threatened Species Management,Biosecurity and Pest Management,PCEMP-38,"If trigger levels for any pest animal species are met or exceeded, additional monitoring will be undertaken and will occur in conjunction with appropriate management measures until pest animal presence reduces to baseline levels or below.",SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,No,,Site,,Incident response
SCJV - Pilbara Ports,Portside CEMP,Threatened Species Management,Biosecurity and Pest Management,PCEMP-39,"CONTRACTOR shall maintain a fauna interaction register � recording all feral animal sightings, capture and/or euthanasia records.","SCJV - during construction
Perdaman - during operations",SCJV - Lead Environmental Advisor,Throughout the project,1/1/2107,,In Progress,,,Verify compliance through checking the implementation of interaction register.,,,,No,,,,No,,Desktop,,Reporting
SCJV - Pilbara Ports,Portside CEMP,Threatened Species Management,Biosecurity and Pest Management,PCEMP-40,"If required during the lifetime of the PROJECT, a Cane Toad Monitoring and Management Plan may be developed, including controls for potential future implementation.","SCJV - during construction
Perdaman - during operations",SCJV - Lead Environmental Advisor,Throughout the project,1/1/2107,,Not Started,,Not currently necessary.,Verify compliance through implementation of proposed controls checked in audits and reporting.,,,,No,,,,No,,Desktop,,Incident response
SCJV - Pilbara Ports,Portside CEMP,,Biosecurity and Pest Management,PCEMP-41,Any sighting of declared pest species entered into Atlas of Living Australia and feral cat sightings will also be entered into the Feral Catscan via mobile app or website.,"SCJV - during construction
Perdaman - during operations",SCJV - Lead Environmental Advisor,Throughout the project,1/1/2107,,In Progress,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,No,,Desktop,,Reporting
SCJV - Pilbara Ports,Portside CEMP,,Cultural Heritage Management,PCEMP-42,"Locations of known and potential heritage items/areas within, or close to, the development footprint will be demarcated as �No-Go Zones�.",SCJV,SCJV - Environmental Lead,Prior to Construction,8/1/2024,,Not Started,Access to No-Go Zones will be prevented with a chain mesh fencing of at least 2.5m in height around its perimeter. Signs of at least 1m2 will be attached to the entrance of the fenced area and at no less than 50m intervals along the fence. No persons are to enter the No-Go Zone without written consent of the Environment and Heritage Manager and no works will take place within them.,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Weekly,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,Cultural Heritage Management,Cultural Heritage Management,PCEMP-43,"For the construction program, all public meetings, key events and cultural heritage sessions, should begin with the opportunity for MAC custodians to provide a Welcome to Country.",SCJV,SCJV - Heritage & Indigenous Relations Manager,Design and Construction,1/1/2027,,In Progress,,,Verify compliance through audits.,,,,No,,,,No,,Site,,Consultations
SCJV - Pilbara Ports,Portside CEMP,,Cultural Heritage Management,PCEMP-44,All vehicle movements shall remain on defined tracks. Traffic will be diverted around significant cultural heritage values and sites.,"SCJV - during construction
Perdaman - during operations",SCJV - Lead Environmental Advisor,Throughout the project,1/1/2107,,In Progress,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,No,,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,Cultural Heritage Management,Cultural Heritage Management,PCEMP-45,The CONTRACTOR shall ensure that the visual amenity of certain significant cultural heritage values and site is not impeded from construction activities by implementing controls described in the Noise and Light risk managements.,"SCJV - during construction
Perdaman - during operations",SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,In Progress,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Weekly,Desktop,,Site based
SCJV - Pilbara Ports,Portside CEMP,EPBC 2018/8383,Reporting,PCEMP-46,"An Annual Compliance Report (ACR) required under Condition 17 of EPBC Approval 2018-8383 shall be prepared by the OWNER for each 12-month period following the date of commencement of actions. This will be prepared for the overall PROJECT, including relevant information from Portside works.",SCJV,SCJV - Project Environmental Representative,Design and Construction,8/1/2025,,Not Started,,,Verify compliance through audits and reporting.,,,,Yes,Annual,,8/1/2025,No,,Desktop,,Reporting
SCJV - Pilbara Ports,Portside CEMP,,Cultural Heritage Management,PCEMP-47,"Regular reporting and consultation occur with MAC throughout the planning, construction and operations of the PROJECT.","SCJV - during construction
Perdaman - during operations",OWNER Environment and Heritage Manager,Throughout the project,1/1/2107,,In Progress,,,,,,,No,,,,No,,Desktop,,Consultations
SCJV - Pilbara Ports,MS1180,,Reporting,PCEMP-48,"An annual Compliance Assessment Report (CAR) is to be submitted to the CEO in accordance with Condition 15 of MS1180, with the first report due 15 months from the ministerial statement being issued. A CAR will be prepared for the overall PROJECT, including relevant information from Portside works.",SCJV,SCJV - Project Environmental Representative,Throughout the project,1/1/2027,,In Progress,,,Verify compliance through audits and reporting.,,,,Yes,Annually,,,No,,Desktop,,Reporting
SCJV - Pilbara Ports,Portside CEMP,,Cultural Heritage Management,PCEMP-49,The OWNER will provide annual updates on the PROJECT and copies of relevant documentation to MAC.,"SCJV - during construction
Perdaman - during operations",Perdaman - Management,Throughout the project,1/1/2107,,In Progress,,,Verify compliance through audits and reporting.,,,,Yes,Annual,,8/1/2025,No,,Desktop,,Reporting
SCJV - Pilbara Ports,Portside CEMP,,Cultural Heritage Management,PCEMP-50,PROJECT data and technical information will be provided to the Murujuga Rock Art Monitoring Program.,"SCJV - during construction
Perdaman - during operations",SCJV - Project Environmental Representative,Throughout the project,1/1/2107,,In Progress,,,Verify compliance through audits and reporting.,,,,No,As required,,,No,,Desktop,,Reporting
SCJV - Pilbara Ports,Portside CEMP,Cultural Heritage Management,Cultural Heritage Management,PCEMP-51,"If OWNER employees, contractors or visitors damage, trespass or otherwise interfere with an Aboriginal Heritage Site identified for protection, then the following shall occur:
�	Work is immediately stopped in the vicinity of the area of the suspected breach and the area is to be cordoned off with a 5m surrounding buffer.
�	When an incident occurs, the PROJECT Lead Environmental Advisor, or their delegate, will be notified of the incident as soon as possible.
�	The PROJECT Lead Environmental Advisor will inform OWNER of the incident within 24 hours.
�	The incident and response will be recorded in the OWNER�s Incident Reporting System within 24 hours of occurrence, as per section 8.1.3.
�	For all incidents, root cause(s) must be established using the Incident Cause Analysis Methodology (ICAM). The final incident investigation report must be submitted within 14 days, or as stipulated by the Project Director, depending on the level of investigation required.
�	The site supervisor responsible for the area in which the incident occurred is to complete an incident report form and provide it to the PROJECT Lead Environmental Advisor, or delegate, as soon as practicable after the incident.",,,,,,,,,,,,,,,,,,,Desktop,,Incident response
SCJV - Pilbara Ports,Portside CEMP,MS1180,Reporting,PCEMP-52,"In the event that monitoring, tests, surveys or investigations indicate that one or more management actions, as specified in the Cultural Heritage Management Plan, have not been implemented, the OWNER must:
�	Under MS1180 Condition 9-6:
?	Report the failure to implement the management action(s) in writing to the CEO, MAC, the DPLH and the Registrar of Aboriginal Sites within seven days of identification
?	Investigate to determine the cause of the management action(s) not being implemented
?	Investigate to determine potential environmental harm or alteration of the environment that occurred due to the failure to implement management action(s)
?	Provide a further report to the CEO, MAC and the DPLH and the Registrar of Aboriginal Sites within 28 days of the non-compliance being identified which must include cause for failure to implement management action(s); the findings of the investigation required by Condition 9-6(2); relevant changes to PROJECT activities and measures to prevent, control or abate the environmental harm which may have occurred
Under EPBC approval Condition 5:
-	Provide any reports required to be prepared under conditions 9-5 and 9-6 of the Western Australian Approval to the Department for review within the same timeframes specified in those conditions and,
-	If the Minister has approved a revised Cultural Heritage Management Plan, implement the Cultural Heritage Management Plan",,,,,,,,,,,,,,,,,,,Desktop,,Incident response
SCJV - Pilbara Ports,Portside CEMP,Cultural Heritage Management,Dust Management,PCEMP-54,"Dust suppression techniques will be used on approved access tracks, cleared areas and at locations of high dust risk.",SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Weekly,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Dust Management,PCEMP-55,Utilise weather forecasting tools to inform daily work activities and dust suppression activities.,SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Daily,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Dust Management,PCEMP-56,"Dust suppression sprays installed at material transfer locations on the jaw crusher, cone crushers, triple deck screen and product stackers.",SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Mobilisation,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Dust Management,PCEMP-57,"Water systems to be used to minimise dust generation at material transfer points, crusher and at the materials stockpiles.",SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Weekly,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Dust Management,PCEMP-58,Water trucks to be operated on roads and open areas to ensure dust generation is kept to a minimum.,SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Weekly,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Dust Management,PCEMP-59,Stockpiles must not exceed 5 meters (m) in height above ground level.,SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Weekly,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,Cultural Heritage Management,Dust Management,PCEMP-60,Dust suppression measures will be implemented where dust is visible.,SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,As required,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Dust Management,PCEMP-61,"Saline water (<5000 mg/L total dissolved solids (TDS)) will not be used for dust suppression unless approved by CONTRACTOR Environment and Heritage Manager, or delegate.",SCJV,SCJV - Construction Supervisor,During Construction,1/1/2027,,Not Started,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,No,,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Dust Management,PCEMP-62,Vehicle speeds on access tracks and around work sites will be reduced where necessary to minimise dust emissions.,SCJV,SCJV - Lead Environmental Advisor,Throughout the project,1/1/2027,,Not Started,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Weekly,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Dust Management,PCEMP-63,Vehicles will remain within designated roads and park only in allocated areas.,SCJV,SCJV - Lead Environmental Advisor,Throughout the project,1/1/2027,,Not Started,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Weekly,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Dust Management,PCEMP-64,"Conducting earthworks during high winds (>40km/hr) should be avoided. Where these works are required to be conducted during high winds, additional management measures must be implemented to minimise and control dust emissions.",SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Extreme Weather,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Dust Management,PCEMP-65,"Ensure vehicles, plant and equipment are well maintained to reduce exhaust emissions to surrounding environment.",SCJV,SCJV - Construction Supervisor,During Construction,1/1/2027,,Not Started,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Weekly,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,W6946 (Cat 70),Dust Management,PCEMP-66,"Use of water fogger, as an additional measure that will be implemented when crushing and screening activities are taking place.",SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Mobilisation,Site,Y,Site based
SCJV - Pilbara Ports,Portside CEMP,W6946 (Cat 70),Dust Management,PCEMP-67,"The crushing and screening plant will be located as far as practicable from sensitive sites, including petroglyphs and public roads.",SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Mobilisation,Site,,Site based
